# mask_cen mask_weight
6.833208999163296085e+02 9.961442039151396921e-01
6.833415999163244123e+02 9.942667448438229361e-01
6.834931999162863576e+02 9.961112840442103433e-01
6.837039999162334425e+02 9.942525359076265223e-01
6.837307999162267151e+02 9.980336509943720236e-01
6.837982999162097713e+02 9.955286058586058084e-01
6.838370999162000317e+02 9.961872817048763595e-01
6.840103999161565298e+02 9.915599866202153834e-01
6.840625999161434265e+02 9.942799146414535993e-01
6.842494999160965108e+02 9.955840799512243322e-01
6.842981999160842861e+02 9.917204915912781749e-01
6.843423999160731910e+02 9.961969288408576428e-01
6.843598999160687981e+02 9.962220804132921881e-01
